date,serial_number,failure,smart_1_normalized,smart_5_raw,smart_9_normalized,smart_187_raw,smart_188_raw,smart_194_raw,smart_198_raw,smart_199_raw
2014-01-25,Z300W0JS,0,119,0,100,0,0,25,0,0
2014-01-29,Z300XDJY,0,114,0,100,0,0,19,0,0
2014-02-01,Z1F1AD5G,0,119,0,91,0,0,22,0,0
2014-02-01,Z300GQ90,0,116,0,99,0,0,19,0,0
2014-02-01,Z300VN48,0,120,0,99,0,0,26,0,0
2014-02-01,Z30111BJ,0,109,0,100,0,0,27,0,0
2014-02-02,Z300GQ1N,0,117,0,99,0,0,23,0,0
2014-02-04,Z3015BWY,0,113,0,100,0,0,21,0,0
2014-02-05,S1F1197D,0,117,0,90,0,73015558161,22,0,0
2014-02-05,W1F1CM9M,0,109,0,90,0,0,18,0,0
2014-02-05,W300KQED,0,119,0,100,0,0,23,0,0
2014-02-05,W300R6TD,0,111,0,100,0,0,22,0,0
2014-02-05,Z300MW8C,0,118,0,100,0,0,19,0,0
2014-02-05,Z30149AK,0,118,0,100,0,0,26,0,0
2014-02-06,W3004GJ7,0,114,0,100,0,0,22,0,0
2014-02-06,Z300ND1M,0,115,0,98,0,0,22,0,0
2014-02-06,Z300XFT9,0,112,0,100,0,0,20,0,0
2014-02-06,Z300ZR3E,0,119,0,100,0,0,25,0,0
2014-02-07,W0Q0Z3E0,0,105,0,100,0,7,28,0,0
2014-02-07,W300K119,0,115,0,100,0,0,22,0,0
2014-02-07,Z300D6YC,0,120,0,96,0,0,26,0,0
2014-02-07,Z300VVE5,0,120,0,99,0,0,25,0,0
2014-02-07,Z300XCXR,0,116,0,100,0,0,28,0,0
2014-02-07,Z3014A9K,0,117,0,100,0,0,26,0,0
2014-02-07,Z3015LED,0,116,0,100,0,0,28,0,0
2014-02-08,W300R5HT,0,117,0,100,0,0,21,0,0
2014-02-08,Z300H1D4,0,117,0,100,0,0,21,0,0
2014-02-08,Z300VMWK,0,118,0,99,0,0,25,0,0
2014-02-08,Z300W2GF,0,114,0,100,0,0,23,0,0
2014-02-08,Z300XCCQ,0,117,0,99,0,0,23,0,0
2014-02-08,Z300XQZ8,0,118,0,100,0,0,21,0,0
2014-02-08,Z300YM47,0,113,0,100,0,0,21,0,0
2014-02-08,Z300ZR3E,0,113,0,100,0,0,25,0,0
2014-02-08,Z300ZV93,0,120,0,100,0,0,25,0,0
2014-02-08,Z3011WVG,0,111,0,100,0,0,25,0,0
2014-02-08,Z3015C6S,0,117,0,100,0,0,23,0,0
2014-02-08,Z3015EEH,0,115,0,99,0,0,23,0,0
2014-02-09,Z300CLRH,0,117,0,100,0,20,19,0,1
2014-02-09,Z300W2A7,0,115,0,99,0,0,25,0,0
2014-02-09,Z300ZK9X,0,114,0,100,0,0,19,0,0
2014-02-09,Z300ZT7N,0,117,0,100,0,0,22,0,0
2014-02-09,Z3015LFG,0,114,0,99,0,0,21,0,0
2014-02-10,Z300H3Q2,0,114,0,100,0,0,22,0,0
2014-02-10,Z300ZQWP,0,119,0,100,0,0,23,0,0
2014-02-10,Z300ZV41,0,119,0,100,0,0,29,0,0
2014-02-10,Z300ZV6M,0,112,0,100,0,0,23,0,0
2014-02-10,Z30111LX,0,119,0,100,0,0,19,0,0
2014-02-10,Z30149JZ,0,111,0,100,0,0,24,0,0
2014-02-11,Z300X5NL,0,119,0,99,0,0,24,0,0
2014-02-11,Z300ZJZ7,0,120,0,100,0,0,24,0,0
2014-02-11,Z300ZQWT,0,117,0,100,0,0,23,0,0
2014-02-11,Z3011WWH,0,105,0,100,0,0,25,0,0
2014-02-11,Z3015LED,0,116,0,100,0,0,26,0,0
2014-02-12,Z300ZRTD,0,117,0,100,0,0,23,0,0
2014-02-12,Z300ZS11,0,117,0,100,0,0,20,0,0
2014-02-12,Z300ZTNH,0,111,0,100,0,0,25,0,0
2014-02-12,Z300ZV83,0,119,0,100,0,0,24,0,0
2014-02-12,Z30111RP,0,119,0,100,0,0,23,0,0
2014-02-12,Z30149AK,0,115,0,100,0,0,26,0,0
2014-02-13,S1F13647,0,117,0,89,0,77310590994,24,0,0
2014-02-13,W300T15Q,0,109,0,100,0,0,23,0,0
2014-02-13,Z300D6MX,0,111,0,96,0,0,22,0,0
2014-02-13,Z300W4X3,0,117,0,99,0,0,21,0,0
2014-02-13,Z300YNCZ,0,116,0,100,0,0,25,0,0
2014-02-13,Z300YV55,0,119,0,100,0,0,22,0,0
2014-02-13,Z300ZBAD,0,110,0,100,0,0,23,0,0
2014-02-13,Z300ZK9X,0,120,0,100,0,0,20,0,0
2014-02-13,Z300ZSYX,0,118,0,100,0,0,20,0,0
2014-02-13,Z301110F,0,115,0,100,0,0,22,0,0
2014-02-13,Z3014A0P,0,120,0,100,0,0,25,0,0
2014-02-14,5XW036GM,0,116,0,57,0,0,17,0,0
2014-02-14,5XW2B06Q,0,114,0,79,0,20,24,0,2
2014-02-14,5YD8BLRT,0,104,0,86,0,0,29,0,0
2014-02-14,6XW00S4J,0,118,0,58,0,0,19,0,0
2014-02-14,6XW01H5S,0,119,0,57,0,0,19,0,0
2014-02-14,6XW0XWVP,0,118,0,64,0,0,25,0,0
2014-02-14,9VS1QE91,0,117,11,53,0,51540459534,26,0,0
2014-02-14,9VS34KX0,0,120,10,61,0,34360262664,25,0,0
2014-02-14,9VS3JDWR,0,114,19,61,0,4295032833,23,0,0
2014-02-14,9VS4WP3P,0,117,987,71,0,4295032833,22,0,0
2014-02-14,9XW01YG8,0,108,0,60,1,1,18,0,0
2014-02-14,9XW0274M,0,116,0,58,0,0,17,0,0
2014-02-14,9XW027CA,0,112,0,58,0,2,19,0,0
2014-02-14,9XW0323T,0,120,0,61,0,3,21,0,0
2014-02-14,S1F010SB,0,105,0,81,2,30065229844,22,8,2
2014-02-14,S1F01V2Y,0,120,0,83,0,42950328330,19,0,0
2014-02-14,S1F0324P,0,117,0,80,0,51540394000,20,0,5
2014-02-14,S1F05P41,0,118,216,84,6,42950328330,23,0,0
2014-02-14,S1F0BN9C,0,117,0,85,0,34360262664,21,0,0
2014-02-14,S1F0GGJD,0,118,0,85,0,81605623827,26,0,0
2014-02-14,S1F0TQDG,0,99,0,86,0,55835426837,27,0,5
2014-02-14,S1F1021H,0,111,0,89,0,34360262664,26,0,0
2014-02-14,S1F131F6,0,115,0,90,0,4295032833,22,0,0
2014-02-14,S1F13BZQ,0,117,0,89,0,64425492495,26,0,0
2014-02-14,W1F09W9N,0,119,0,81,0,47245361164,25,8,0
2014-02-14,W1F0A5RR,0,112,0,82,0,38655295497,23,0,1
2014-02-14,W1F0G0NT,0,117,0,89,0,0,25,0,0
2014-02-14,W1F0TQ0Q,0,118,0,86,0,42950328330,23,0,0
2014-02-14,W1F0X5VA,0,113,0,85,0,98785755159,29,0,0
2014-02-14,W1F0X6YC,0,117,0,85,0,55835426829,24,0,0
2014-02-14,W1F0Z636,0,114,0,86,0,34360262664,20,0,0
2014-02-14,W1F1B0KF,0,111,0,90,0,0,22,0,0
2014-02-14,W1F1BQW8,0,114,0,89,0,51540393996,23,0,0
2014-02-14,W1F1CLJG,0,108,0,90,0,0,20,0,0
2014-02-14,W3006E81,0,113,0,96,0,0,23,0,0
2014-02-14,W30099HJ,0,102,0,94,0,0,22,0,0
2014-02-14,W3009RTQ,0,118,0,94,0,0,20,0,0
2014-02-14,W300BH7Y,0,112,0,95,0,0,19,0,0
2014-02-14,W300BN4L,0,115,0,94,0,0,22,0,0
2014-02-14,W300BY4Z,0,114,0,94,0,0,24,0,0
2014-02-14,W300J601,0,117,0,96,0,0,24,0,0
2014-02-14,W300KTH8,0,107,0,98,0,0,19,0,0
2014-02-14,Z1F0KKN4,0,116,0,85,0,42950328330,25,0,0
2014-02-14,Z1F0LSDP,0,118,0,85,0,55835426829,33,0,0
2014-02-14,Z290XY9G,0,119,0,81,0,0,26,0,0
2014-02-14,Z3005A1H,0,119,0,93,0,0,20,0,0
2014-02-14,Z300CLJR,0,116,0,97,0,0,20,0,0
2014-02-14,Z300CRL2,0,119,0,96,0,0,28,0,0
2014-02-14,Z300CWLG,0,115,0,96,0,0,20,0,0
