date,serial_number,failure,smart_1_normalized,smart_5_raw,smart_9_normalized,smart_187_raw,smart_188_raw,smart_194_raw,smart_198_raw,smart_199_raw
2014-01-22,Z300XG9K,0,117,0,100,0,0,23,0,0
2014-01-27,Z301012V,0,109,0,100,0,0,25,0,0
2014-01-28,Z30111JK,0,120,0,100,0,0,24,0,0
2014-01-29,Z300ZRN7,0,107,0,100,0,0,23,0,0
2014-01-29,Z30111E8,0,116,0,100,0,0,25,0,0
2014-01-29,Z30111J2,0,106,0,100,0,0,27,0,0
2014-01-31,W0Q6JFVK,0,115,0,89,0,48,27,0,0
2014-01-31,Z300ZR3P,0,115,0,100,0,0,20,0,0
2014-01-31,Z300ZT9K,0,118,0,100,0,0,20,0,0
2014-02-01,Z300X20H,0,118,0,99,0,0,26,0,0
2014-02-02,Z300MG8A,0,113,0,100,0,0,21,0,0
2014-02-02,Z300XDM9,0,109,0,100,0,0,19,0,0
2014-02-02,Z300Y4Y1,0,103,0,100,0,0,19,0,0
2014-02-03,W300T1CL,0,119,0,100,0,0,24,0,0
2014-02-05,6VDHZ9ZK,0,109,0,100,0,5,24,0,0
2014-02-05,Z300GYMH,0,113,0,99,0,0,21,0,0
2014-02-05,Z300ZSBD,0,108,0,100,0,0,26,0,0
2014-02-06,S2X6CDP8,0,113,0,100,0,5,27,0,0
2014-02-06,Z300H1LM,0,110,0,100,0,0,22,0,0
2014-02-06,Z300K9HE,0,115,0,96,0,0,22,0,0
2014-02-06,Z300ZSRS,0,117,0,100,0,0,26,0,0
2014-02-06,Z3015LF8,0,114,0,100,0,0,25,0,0
2014-02-07,Z300WG7A,0,115,0,99,0,0,22,0,0
2014-02-07,Z3014A1J,0,116,0,100,0,0,24,0,0
2014-02-07,Z3015LF8,0,115,0,100,0,0,28,0,0
2014-02-08,W1F1FCM1,0,117,568,90,3,0,24,0,0
2014-02-08,W300KQ5L,0,117,0,100,0,0,23,0,0
2014-02-08,W300KR2G,0,115,0,100,0,0,24,0,0
2014-02-08,Z300W2WZ,0,117,0,100,0,0,23,0,0
2014-02-08,Z300W305,0,119,0,100,0,0,26,0,0
2014-02-08,Z300WR6S,0,115,0,100,0,0,20,0,0
2014-02-08,Z300ZTKV,0,110,0,100,0,0,28,0,0
2014-02-08,Z300ZTWC,0,108,0,100,0,0,23,0,0
2014-02-08,Z30111N8,0,114,0,100,0,0,23,0,0
2014-02-09,Z1F1B71J,0,108,0,90,0,0,24,0,0
2014-02-09,Z300ZT4K,0,117,0,100,0,0,26,0,0
2014-02-09,Z30111BG,0,117,0,100,0,0,22,0,0
2014-02-09,Z30111ET,0,117,0,100,0,1,23,0,0
2014-02-09,Z30147T1,0,117,0,99,0,0,21,0,0
2014-02-09,Z3015CLD,0,119,0,99,0,0,21,0,0
2014-02-09,Z3015L56,0,118,0,100,0,0,19,0,0
2014-02-10,W3006NJ3,0,117,0,100,0,0,22,0,0
2014-02-10,W30097M4,0,119,0,99,0,0,19,0,0
2014-02-10,Z300PB4H,0,117,0,98,0,0,21,0,0
